age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,exceeds50K
23, Private,203182, Bachelors,13, Never-married, Sales, Not-in-family, Female,0,0,40, United-States,0
40, Private,168294, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,0
40, Private,232820, Assoc-voc,11, Divorced, Exec-managerial, Unmarried, Female,0,0,40, United-States,0
34, Private,193344, Some-college,10, Never-married, Adm-clerical, Unmarried, Female,0,0,40, Germany,0
24, Private,179203, 12th,8, Never-married, Sales, Other-relative, Male,0,0,55, United-States,0
25, State-gov,157028, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Male,0,0,40, United-States,0
57, Self-emp-inc,220789, HS-grad,9, Married-civ-spouse, Sales, Husband, Male,0,0,45, United-States,1
59, Private,142182, HS-grad,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,1
37, Self-emp-inc,163998, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,1
18, ?,128538, Some-college,10, Never-married, ?, Own-child, Female,0,0,6, United-States,0
37, Local-gov,189878, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Male,0,0,60, United-States,0
33, Self-emp-inc,374905, HS-grad,9, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,1
28, Private,274579, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,60, United-States,0
34, Self-emp-inc,207668, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,54, ?,1
44, Private,121718, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,15024,0,48, United-States,1
28, Self-emp-not-inc,33035, 12th,8, Divorced, Other-service, Unmarried, Female,0,0,30, United-States,0
40, Private,360884, Some-college,10, Never-married, Tech-support, Not-in-family, Female,0,0,50, United-States,1
37, Local-gov,108320, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,45, United-States,1
39, Self-emp-inc,124685, Masters,14, Divorced, Exec-managerial, Not-in-family, Male,0,0,99, Japan,1
37, Private,110331, Prof-school,15, Married-civ-spouse, Other-service, Wife, Female,0,0,60, United-States,1
30, Private,169186, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Male,0,0,60, United-States,0
40, Private,99373, 10th,6, Divorced, Machine-op-inspct, Unmarried, Female,0,0,40, United-States,0
65, Private,271092, Some-college,10, Divorced, Adm-clerical, Unmarried, Female,0,0,40, ?,0
33, Private,124827, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,0
19, Private,89295, Some-college,10, Never-married, Machine-op-inspct, Own-child, Female,0,0,35, United-States,0
18, Self-emp-inc,119422, HS-grad,9, Never-married, Other-service, Unmarried, Female,0,0,30, India,0
25, Private,278404, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,40, United-States,0
24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,50, United-States,0
54, Private,169719, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,3103,0,40, United-States,1
60, Private,80574, HS-grad,9, Divorced, Other-service, Unmarried, Female,0,0,38, United-States,0
33, Private,91666, 12th,8, Divorced, Exec-managerial, Not-in-family, Male,0,0,40, United-States,0
34, Private,73585, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, ?,0
28, Private,315287, HS-grad,9, Never-married, Adm-clerical, Other-relative, Male,0,0,40, ?,0
38, Private,95336, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Male,0,0,45, United-States,0
22, Private,102632, HS-grad,9, Never-married, Craft-repair, Not-in-family, Male,0,0,41, United-States,0
32, Private,342458, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,40, United-States,0
34, Private,170017, HS-grad,9, Divorced, Craft-repair, Own-child, Male,0,0,40, United-States,0
21, Private,164920, Some-college,10, Never-married, Other-service, Own-child, Female,0,0,40, United-States,0
41, Private,130126, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,80, United-States,1
22, Private,269474, Some-college,10, Never-married, Adm-clerical, Own-child, Male,0,0,10, United-States,0
45, Self-emp-not-inc,32172, Some-college,10, Never-married, Farming-fishing, Not-in-family, Male,0,0,50, United-States,0
27, Self-emp-not-inc,131298, 10th,6, Married-civ-spouse, Craft-repair, Husband, Male,0,0,48, United-States,0
44, Private,136986, Some-college,10, Divorced, Adm-clerical, Not-in-family, Male,0,0,40, United-States,0
40, Private,191982, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, Female,0,0,40, United-States,1
49, Private,250821, Prof-school,15, Never-married, Farming-fishing, Other-relative, Male,0,0,48, United-States,0
32, Private,211743, Bachelors,13, Never-married, Sales, Not-in-family, Male,0,0,45, United-States,0
30, Private,154120, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,1977,60, United-States,1
44, Self-emp-not-inc,187164, HS-grad,9, Divorced, Transport-moving, Unmarried, Male,0,0,60, United-States,0
50, Private,200960, Some-college,10, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,0
40, Private,145441, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,1485,40, United-States,1
36, Private,353524, HS-grad,9, Divorced, Exec-managerial, Own-child, Female,1831,0,40, United-States,0
42, Private,205195, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,1
42, Private,156526, Some-college,10, Never-married, Tech-support, Not-in-family, Male,0,0,33, United-States,0
23, Local-gov,203353, Bachelors,13, Never-married, Prof-specialty, Own-child, Female,0,0,45, United-States,0
29, Federal-gov,242147, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Male,0,0,45, United-States,0
22, Private,313817, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,50, United-States,0
39, Private,93174, HS-grad,9, Divorced, Transport-moving, Own-child, Male,0,0,60, United-States,0
41, Private,151504, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,7688,0,50, United-States,1
34, ?,41493, Bachelors,13, Divorced, ?, Own-child, Female,0,0,40, United-States,0
49, Private,188515, Some-college,10, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,0
52, Local-gov,255927, Some-college,10, Widowed, Adm-clerical, Not-in-family, Female,0,0,24, United-States,0
32, Private,174201, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,38, United-States,1
37, Self-emp-not-inc,31095, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,60, United-States,1
36, Private,334291, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Male,0,1887,40, United-States,1
31, Private,101562, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Female,0,0,55, United-States,0
58, Private,141807, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, Italy,0
27, Private,192936, HS-grad,9, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,0
32, Private,252646, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,1
22, Private,91733, Some-college,10, Never-married, Other-service, Own-child, Female,0,0,35, United-States,0
21, Private,119039, Some-college,10, Never-married, Adm-clerical, Own-child, Female,0,0,18, United-States,0
20, Private,143062, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Male,0,0,40, United-States,0
38, Federal-gov,238342, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,7688,0,42, United-States,1
34, Private,173495, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,48, United-States,1
41, Private,175398, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, Female,0,0,45, United-States,0
26, Private,155213, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,48, United-States,0
20, Private,88126, Some-college,10, Never-married, Adm-clerical, Own-child, Male,0,0,9, England,0
31, Private,202822, Some-college,10, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,0
21, Private,291232, Some-college,10, Never-married, Other-service, Not-in-family, Male,0,0,40, United-States,0
33, Private,301867, Some-college,10, Never-married, Adm-clerical, Unmarried, Female,0,0,35, United-States,0
70, Self-emp-inc,131699, Bachelors,13, Divorced, Exec-managerial, Unmarried, Female,0,0,55, United-States,0
30, Private,97757, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,36, United-States,1
45, Private,83064, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,0
53, Private,35102, Some-college,10, Divorced, Adm-clerical, Not-in-family, Female,0,0,34, United-States,0
44, Local-gov,229148, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,0
37, Private,256636, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,0
34, Private,212781, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,1
58, Private,102791, HS-grad,9, Divorced, Other-service, Own-child, Female,0,0,40, United-States,0
26, Private,188767, Bachelors,13, Never-married, Sales, Own-child, Male,0,0,40, United-States,0
33, Private,232356, HS-grad,9, Married-civ-spouse, Sales, Husband, Male,0,1672,55, United-States,0
70, Private,142851, 9th,5, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,18, United-States,0
29, Federal-gov,128553, Assoc-voc,11, Never-married, Adm-clerical, Unmarried, Female,0,0,40, United-States,0
27, Private,214695, HS-grad,9, Never-married, Sales, Own-child, Male,0,0,60, United-States,0
43, Self-emp-inc,215458, Doctorate,16, Never-married, Prof-specialty, Not-in-family, Male,99999,0,45, United-States,1
26, Private,108019, HS-grad,9, Never-married, Craft-repair, Own-child, Male,3325,0,40, United-States,0
26, Private,523067, Some-college,10, Never-married, Prof-specialty, Own-child, Male,0,0,3, El-Salvador,0
57, Private,188872, 5th-6th,3, Divorced, Transport-moving, Unmarried, Male,6497,0,40, United-States,0
17, Private,79464, 11th,7, Never-married, Adm-clerical, Own-child, Female,0,0,12, United-States,0
39, Private,223792, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,72, United-States,0
17, Local-gov,192387, 9th,5, Never-married, Other-service, Own-child, Male,0,0,45, United-States,0
40, Private,163434, HS-grad,9, Never-married, Craft-repair, Not-in-family, Male,0,0,50, United-States,0
31, Private,104509, Bachelors,13, Never-married, Sales, Not-in-family, Female,0,0,65, United-States,1
25, Private,185942, Masters,14, Never-married, Prof-specialty, Own-child, Female,0,0,40, United-States,1
31, Local-gov,194141, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Male,0,0,48, United-States,0
29, Private,105422, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,1
75, Private,187424, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,20, United-States,0
50, Local-gov,168672, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Female,0,1902,40, United-States,1
28, Private,129460, 9th,5, Never-married, Craft-repair, Not-in-family, Male,0,0,40, El-Salvador,0
44, Private,75012, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,80, United-States,0
44, Local-gov,101689, Some-college,10, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,0
22, Private,663291, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Male,2105,0,40, United-States,0
27, Private,50132, Some-college,10, Divorced, Sales, Not-in-family, Male,0,0,50, United-States,0
64, Private,180624, Assoc-acdm,12, Never-married, Prof-specialty, Other-relative, Female,0,0,30, United-States,0
32, Private,123430, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,65, United-States,0
47, Private,214800, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,0
47, Private,298037, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, Female,0,0,44, United-States,0
31, Private,437200, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, Mexico,0
23, Private,185948, HS-grad,9, Never-married, Craft-repair, Unmarried, Male,0,0,40, United-States,0
43, Federal-gov,136105, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,1848,40, United-States,1
55, Local-gov,286967, 10th,6, Married-civ-spouse, Craft-repair, Husband, Male,0,0,45, United-States,0
68, Self-emp-not-inc,150904, HS-grad,9, Widowed, Craft-repair, Not-in-family, Female,0,0,35, United-States,0
46, Self-emp-inc,125892, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,1977,60, United-States,1
41, Private,147099, Masters,14, Divorced, Exec-managerial, Unmarried, Female,0,0,40, United-States,0
55, Private,205422, 10th,6, Married-civ-spouse, Other-service, Wife, Female,0,0,40, United-States,0
33, Self-emp-not-inc,312055, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,45, United-States,1
42, Private,184682, Assoc-voc,11, Divorced, Tech-support, Not-in-family, Female,0,0,30, United-States,0
41, Self-emp-not-inc,223763, Masters,14, Married-civ-spouse, Craft-repair, Husband, Male,0,0,65, United-States,0
20, Private,169600, Some-college,10, Never-married, Prof-specialty, Own-child, Female,2176,0,12, United-States,0
30, Private,30101, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,1
64, Private,391121, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, United-States,1
39, Private,108943, 11th,7, Divorced, Other-service, Unmarried, Female,0,0,40, United-States,0
27, Private,106562, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,50, United-States,1
56, Self-emp-inc,205601, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Male,99999,0,70, United-States,1
47, Private,176893, HS-grad,9, Divorced, Craft-repair, Not-in-family, Male,8614,0,44, United-States,1
43, Private,35210, Some-college,10, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,0
22, Private,236907, Some-college,10, Never-married, Handlers-cleaners, Own-child, Male,0,0,20, United-States,0
58, Private,72812, 10th,6, Never-married, Other-service, Not-in-family, Male,0,0,40, United-States,0
31, Private,47296, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Female,0,1740,20, United-States,0
60, Private,177665, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,35, United-States,0
31, Private,100997, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,0
30, Private,49795, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Male,0,0,40, United-States,0
52, Self-emp-inc,146574, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,1
42, Private,37869, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Male,0,1590,40, United-States,0
34, Private,203357, Some-college,10, Never-married, Adm-clerical, Other-relative, Female,0,0,40, United-States,0
35, Private,202027, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Husband, Male,7298,0,35, United-States,1
56, Self-emp-inc,267763, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, ?,0
35, Private,48779, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,35, United-States,0
41, State-gov,109762, Masters,14, Never-married, Prof-specialty, Not-in-family, Male,0,0,40, United-States,0
38, Local-gov,162613, Masters,14, Never-married, Prof-specialty, Not-in-family, Female,0,2258,60, United-States,0
32, Private,364657, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,1
57, Self-emp-inc,42959, Bachelors,13, Married-civ-spouse, Sales, Wife, Female,0,0,40, United-States,1
72, ?,31327, Bachelors,13, Married-civ-spouse, ?, Husband, Male,0,0,20, United-States,1
74, Private,70234, HS-grad,9, Widowed, Sales, Unmarried, Female,0,0,26, United-States,0
45, Self-emp-not-inc,160167, 10th,6, Married-civ-spouse, Craft-repair, Husband, Male,0,0,70, United-States,0
20, State-gov,243986, Some-college,10, Never-married, Prof-specialty, Own-child, Female,0,0,20, United-States,0
59, Federal-gov,115389, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,36, United-States,0
21, Private,25265, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, Male,0,0,30, United-States,0
38, Private,122952, HS-grad,9, Separated, Craft-repair, Unmarried, Female,0,0,35, United-States,0
41, Private,95047, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, Female,7688,0,44, United-States,1
31, Private,120672, 11th,7, Divorced, Handlers-cleaners, Other-relative, Male,0,1721,40, United-States,0
17, Private,400225, 11th,7, Never-married, Sales, Own-child, Female,0,0,20, United-States,0
38, Private,272476, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,24, United-States,1
51, Local-gov,169182, 9th,5, Widowed, Other-service, Not-in-family, Female,0,0,45, Cuba,0
20, Private,143604, HS-grad,9, Never-married, Other-service, Own-child, Female,0,0,40, United-States,0
44, Private,198096, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,7688,0,40, United-States,1
34, Private,38223, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,0
46, State-gov,135854, HS-grad,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,0
19, Private,366109, 10th,6, Never-married, Other-service, Other-relative, Male,0,0,40, United-States,0
50, Private,410186, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,0
30, ?,197827, Some-college,10, Married-civ-spouse, ?, Husband, Male,0,0,40, United-States,0
47, Self-emp-not-inc,184682, HS-grad,9, Separated, Sales, Unmarried, Female,0,0,35, United-States,0
22, Private,46645, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,9, United-States,0
20, Private,219262, Some-college,10, Never-married, Sales, Own-child, Male,0,0,40, United-States,0
23, Private,117789, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,60, United-States,0
38, Self-emp-not-inc,357962, 9th,5, Divorced, Craft-repair, Not-in-family, Male,0,0,40, United-States,0
67, Self-emp-not-inc,98921, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,0
57, Private,210496, 10th,6, Widowed, Other-service, Unmarried, Female,0,0,40, United-States,0
29, Self-emp-inc,187450, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,1
49, Private,200198, HS-grad,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,0
35, Private,30529, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Male,0,0,40, United-States,0
31, Local-gov,156464, Bachelors,13, Never-married, Prof-specialty, Other-relative, Male,0,0,40, ?,0
40, Local-gov,147206, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Male,0,0,35, United-States,0
40, Private,222011, Masters,14, Never-married, Prof-specialty, Not-in-family, Female,3325,0,40, United-States,0
42, Private,325353, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, Male,7688,0,42, United-States,1
43, Private,119297, HS-grad,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,0
28, Private,178489, Bachelors,13, Never-married, Exec-managerial, Unmarried, Female,0,0,45, ?,0
33, Private,213002, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Male,0,1408,36, United-States,0
45, Self-emp-not-inc,155489, Some-college,10, Married-civ-spouse, Sales, Husband, Male,0,0,65, United-States,0
28, Self-emp-not-inc,51461, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, United-States,0
56, Private,131608, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, Ireland,1
48, ?,185291, Bachelors,13, Married-civ-spouse, ?, Husband, Male,0,0,6, United-States,0
41, Private,424478, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,45, United-States,1
47, Local-gov,153536, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,37, United-States,1
59, Private,230899, 9th,5, Separated, Machine-op-inspct, Unmarried, Female,0,0,40, Mexico,0
18, Private,39222, 11th,7, Never-married, Handlers-cleaners, Own-child, Male,0,0,30, United-States,0
51, Private,63424, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,40, United-States,1
38, Private,85244, Bachelors,13, Separated, Craft-repair, Not-in-family, Male,0,0,40, United-States,0
33, Federal-gov,207723, Masters,14, Never-married, Prof-specialty, Not-in-family, Male,0,0,40, ?,0
40, Private,291192, HS-grad,9, Widowed, Sales, Not-in-family, Female,0,0,40, United-States,0
67, Private,158301, HS-grad,9, Divorced, Transport-moving, Not-in-family, Male,0,0,60, United-States,0
67, ?,165103, Bachelors,13, Married-civ-spouse, ?, Husband, Male,0,2174,50, United-States,1
28, Private,185127, Some-college,10, Never-married, Tech-support, Not-in-family, Male,0,0,54, United-States,0
37, Private,103925, Some-college,10, Never-married, Tech-support, Other-relative, Female,0,0,40, United-States,0
46, Private,87250, Bachelors,13, Separated, Tech-support, Unmarried, Female,0,0,40, United-States,0
31, Self-emp-not-inc,348038, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,1902,50, Puerto-Rico,1
17, ?,280670, 10th,6, Never-married, ?, Own-child, Female,0,0,40, United-States,0
18, Private,311795, 12th,8, Never-married, Sales, Own-child, Female,0,0,20, United-States,0
67, Private,227113, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,2457,40, United-States,0
39, Self-emp-not-inc,122852, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States,1
42, Self-emp-inc,196514, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,40, United-States,0
44, Private,231793, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Female,0,0,52, United-States,0
53, Private,68684, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,0
48, Local-gov,148121, Bachelors,13, Married-spouse-absent, Adm-clerical, Unmarried, Female,0,0,40, Philippines,0
30, Private,170130, HS-grad,9, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,0
25, Private,335376, Assoc-acdm,12, Never-married, Adm-clerical, Own-child, Female,0,0,38, United-States,0
40, Private,175642, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,60, United-States,1
28, Private,208249, Some-college,10, Divorced, Tech-support, Not-in-family, Male,0,0,24, United-States,0
31, Local-gov,144949, HS-grad,9, Divorced, Craft-repair, Unmarried, Male,0,0,40, United-States,0
52, Private,187356, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,41, United-States,0
21, Private,349365, Some-college,10, Never-married, Adm-clerical, Own-child, Female,0,0,15, United-States,0
26, Private,105787, HS-grad,9, Never-married, Craft-repair, Own-child, Male,0,0,36, United-States,0
34, Private,35683, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Female,0,0,40, United-States,0
47, Self-emp-not-inc,102583, Bachelors,13, Never-married, Sales, Not-in-family, Male,0,0,35, United-States,0
37, Private,216129, HS-grad,9, Never-married, Craft-repair, Not-in-family, Female,0,0,45, United-States,0
36, Private,233571, Some-college,10, Divorced, Exec-managerial, Not-in-family, Female,0,0,4, United-States,0
36, Private,361888, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States,1
45, Self-emp-not-inc,216999, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,0
31, Private,111883, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,50, United-States,1
76, Self-emp-inc,99328, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, Male,6514,0,40, United-States,1
42, Private,363591, HS-grad,9, Divorced, Craft-repair, Unmarried, Male,0,0,40, United-States,0
21, ?,405684, HS-grad,9, Never-married, ?, Other-relative, Male,0,0,35, Mexico,0
